┌───────────────────┬───────────┬───────────────┬─────────────┐
│     category      │ avg_price │ total_revenue │ total_units │
│      varchar      │  double   │    double     │   int128    │
├───────────────────┼───────────┼───────────────┼─────────────┤
│ supplement        │     42.45 │     885908.47 │       21477 │
│ meal replacement  │     35.47 │    1159259.08 │       30774 │
│ protein shake     │     30.95 │    1274623.04 │       40540 │
│ protein bar       │     28.81 │     1492536.1 │       49992 │
│ electrolyte drink │     21.88 │      515682.6 │       25367 │
│ healthy snack     │     19.49 │     529198.82 │       28281 │
└───────────────────┴───────────┴───────────────┴─────────────┘
