┌───────────┬──────────────────┬───────────┬─────────────┬───────────────┐
│ city_tier │ num_transactions │ avg_price │ total_units │ total_revenue │
│  varchar  │      int64       │  double   │   int128    │    double     │
├───────────┼──────────────────┼───────────┼─────────────┼───────────────┤
│ Tier 2    │            13828 │     31.22 │       57785 │    1769550.39 │
│ Tier 1    │            18276 │     31.11 │       73324 │    2217469.99 │
│ Unknown   │             4524 │     30.93 │       20985 │     648451.76 │
│ Tier 3    │             9234 │     27.31 │       38886 │    1171774.15 │
└───────────┴──────────────────┴───────────┴─────────────┴───────────────┘
