┌───────────────────┬──────────────┬───────────┬────────────┬───────────────┐
│     category      │ transactions │ avg_price │ units_sold │ total_revenue │
│      varchar      │    int64     │  double   │   int128   │    double     │
├───────────────────┼──────────────┼───────────┼────────────┼───────────────┤
│ protein bar       │        11547 │     28.81 │      49992 │     1492536.1 │
│ protein shake     │        10073 │     30.95 │      40540 │    1274623.04 │
│ meal replacement  │         7822 │     35.47 │      30774 │    1159259.08 │
│ supplement        │         5108 │     42.45 │      21477 │     885908.47 │
│ healthy snack     │         6547 │     19.49 │      28281 │     529198.82 │
│ electrolyte drink │         5811 │     21.88 │      25367 │      515682.6 │
└───────────────────┴──────────────┴───────────┴────────────┴───────────────┘
