┌───────────────────┬───────────────┬─────────────┐
│     occasion      │ total_revenue │ total_units │
│      varchar      │    double     │   int128    │
├───────────────────┼───────────────┼─────────────┤
│ late-night        │    1535313.11 │       49691 │
│ religious-fasting │      844495.5 │       28132 │
│ daily snack       │      668343.9 │       22033 │
│ festive           │     579735.71 │       18176 │
│ on-the-go         │     558248.92 │       18300 │
│ marathon-prep     │     553891.79 │       19416 │
│ gym               │     551084.27 │       18435 │
│ road-trip         │     516133.09 │       16797 │
└───────────────────┴───────────────┴─────────────┘
