┌───────────┬──────────────────┬───────────┬─────────────┬───────────────┐
│ city_tier │ num_transactions │ avg_price │ total_units │ total_revenue │
│  varchar  │      int64       │  double   │   int128    │    double     │
├───────────┼──────────────────┼───────────┼─────────────┼───────────────┤
│ Tier 2    │            14014 │     67.36 │       58172 │    2871317.85 │
│ Unknown   │             4575 │     58.33 │       21089 │      911087.2 │
│ Tier 1    │            18526 │     58.31 │       73872 │    3341845.44 │
│ Tier 3    │             9356 │     49.34 │       39150 │    1703552.37 │
└───────────┴──────────────────┴───────────┴─────────────┴───────────────┘
